Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
interpungieren,interpungiere,interpungierst,interpungiert,interpungierte,interpungiert,interpungierte,interpungier,interpungiert,hat
interpunktieren,interpunktiere,interpunktierst,interpunktiert,interpunktierte,interpunktiert,interpunktierte,interpunktier,interpunktiert,hat
einsparen,spare ein,sparst ein,spart ein,sparte ein,eingespart,sparte ein,spar ein,spart ein,hat
abführen,führe ab,führst ab,führt ab,führte ab,abgeführt,führte ab,führ ab,führt ab,hat
gutheißen,heiße gut,heißt gut,heißt gut,hieß gut,gutgeheißen,hieße gut,heiß gut,heißt gut,hat
anbrennen,brenne an,brennst an,brennt an,brannte an,angebrannt,brennte an,brenn an,brennt an,hat
wichtigmachen,mache wichtig,machst wichtig,macht wichtig,machte wichtig,wichtiggemacht,machte wichtig,mach wichtig,macht wichtig,hat
wiedereröffnen,eröffne wieder,eröffnest wieder,eröffnet wieder,eröffnete wieder,wiedereröffnet,eröffnete wieder,eröffne wieder,eröffnet wieder,hat
fluktuieren,fluktuiere,fluktuierst,fluktuiert,fluktuierte,fluktuiert,fluktuierte,fluktuiere,fluktuiert,hat
klönen,klöne,klönst,klönt,klönte,geklönt,klönte,klöne,klönt,hat
zugrunde liegen,liege zugrunde,liegst zugrunde,liegt zugrunde,lag zugrunde,zugrunde gelegen,läge zugrunde,lieg zugrunde,liegt zugrunde,hat
zu Grunde liegen,liege zu Grunde,liegst zu Grunde,liegt zu Grunde,lag zu Grunde,zu Grunde gelegen,läge zu Grunde,lieg zu Grunde,liegt zu Grunde,hat
bedachen,bedache,bedachst,bedacht,bedachte,bedacht,bedachte,bedache,bedacht,hat
erbarmen,erbarme,erbarmst,erbarmt,erbarmte,erbarmt,erbarmte,erbarm,erbarmt,hat
frommen,—,—,frommt,frommte,gefrommt,frommte,—,—,hat
eintunken,tunke ein,tunkst ein,tunkt ein,tunkte ein,eingetunkt,tunkte ein,tunk ein,tunkt ein,hat
drausbringen,bringe draus,bringst draus,bringt draus,brachte draus,drausgebracht,brächte draus,bring draus,bringt draus,hat
eintauchen,tauche ein,tauchst ein,taucht ein,tauchte ein,eingetaucht,tauchte ein,tauch ein,taucht ein,hat
strammstehen,stehe stramm,stehst stramm,steht stramm,stand stramm,strammgestanden,stände stramm,steh stramm,steht stramm,hat
anstimmen,stimme an,stimmst an,stimmt an,stimmte an,angestimmt,stimmte an,stimm an,stimmt an,hat
aufpudeln,pudle auf,pudelst auf,pudelt auf,pudelte auf,aufgepudelt,pudelte auf,pudle auf,pudelt auf,hat
statuieren,statuiere,statuierst,statuiert,statuierte,statuiert,statuierte,statuiere,statuiert,hat
nötigen,nötige,nötigst,nötigt,nötigte,genötigt,nötigte,nötige,nötigt,hat
politisieren,politisiere,politisierst,politisiert,politisierte,politisiert,politisierte,politisiere,politisiert,hat
törggelen,törggele,törggelst,törggelt,törggelte,getörggelt,törggelte,törggele,törggelt,hat
schockieren,schockiere,schockierst,schockiert,schockierte,schockiert,schockierte,schockier,schockiert,hat
standhalten,halte stand,hältst stand,hält stand,hielt stand,standgehalten,hielte stand,halt stand,haltet stand,hat
komplizieren,kompliziere,komplizierst,kompliziert,komplizierte,kompliziert,komplizierte,kompliziere,kompliziert,hat
losschlagen,schlage los,schlägst los,schlägt los,schlug los,losgeschlagen,schlüge los,schlag los,schlagt los,hat
tröten,tröte,trötest,trötet,trötete,getrötet,trötete,tröte,trötet,hat
überhandnehmen,—,—,nimmt überhand,nahm überhand,überhandgenommen,nähme überhand,—,—,hat
fauchen,fauche,fauchst,faucht,fauchte,gefaucht,fauchte,fauch,faucht,hat
