Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
tigern,tigere,tigerst,tigert,tigerte,getigert,tigerte,tiger,tigert,ist
zicken,zicke,zickst,zickt,zickte,gezickt,zickte,zick,zickt,hat
berappen,berappe,berappst,berappt,berappte,berappt,berappte,berapp,berappt,hat
fuchsen,fuchse,fuchst,fuchst,fuchste,gefuchst,fuchste,fuchs,fuchst,hat
schlängeln,schlängele,schlängelst,schlängelt,schlängelte,geschlängelt,schlängelte,schlängel,schlängelt,hat
lümmeln,lümmel,lümmelst,lümmelt,lümmelte,gelümmelt,lümmelte,lümmel,lümmelt,hat
bunkern,bunkere,bunkerst,bunkert,bunkerte,gebunkert,bunkerte,bunker,bunkert,hat
bimsen,bimse,bimst,bimst,bimste,gebimst,bimste,bims,bimst,hat
balzen,balze,balzt,balzt,balzte,gebalzt,balzte,balz,balzt,hat
walzen,walze,walzt,walzt,walzte,gewalzt,walzte,walz,walzt,hat
überleiten,leite über,leitest über,leitet über,leitete über,übergeleitet,leitete  über,leit über,leitet über,hat
abkürzen,kürze ab,kürzt ab,kürzt ab,kürzte ab,abgekürzt,kürzte ab,kürz ab,kürzt ab,hat
heraufbemühen,bemühe herauf,bemühst herauf,bemüht herauf,bemühte herauf,heraufbemüht,bemühte herauf,bemüh herauf,bemüht herauf,hat
graulen,graule,graulst,grault,graulte,gegrault,graulte,graul,grault,hat
grunzen,grunze,grunzt,grunzt,grunzte,gegrunzt,grunzte,grunz,grunzt,hat
brummeln,brummel,brummelst,brummelt,brummelte,gebrummelt,brummelte,brummel,brummelt,hat
tölpeln,tölpele,tölpelst,tölpelt,tölpelte,getölpelt,tölpelte,tölpel,tölpelt,hat
sperbern,sperbere,sperberst,sperbert,sperberte,gesperbert,sperberte,sperber,sperbert,hat
illern,illere,illerst,illert,illerte,geillert,illerte,iller,illert,hat
gockeln,gockele,gockelst,gockelt,gockelte,gegockelt,gockelte,gockel,gockelt,hat
lunzen,lunze,lunzt,lunzt,lunzte,gelunzt,lunzte,lunz,lunzt,hat
flegeln,flegele,flegelst,flegelt,flegelte,geflegelt,flegelte,flegel,flegelt,hat
lungern,lungere,lungerst,lungert,lungerte,gelungert,lungerte,lunger,lungert,hat
jibbern,jibber,jibberst,jibbert,jibberte,gejibbert,jibberte,jibber,jibbert,hat
punzen,punze,punzt,punzt,punzte,gepunzt,punzte,punz,punzt,hat
strudeln,strudele,strudelst,strudelt,strudelte,gestrudelt,strudelte,strudel,strudelt,hat
quirlen,quirle,quirlst,quirlt,quirlte,gequirlt,quirlte,quirl,quirlt,hat
filtrieren,filtriere,filtrierst,filtriert,filtrierte,filtriert,filtrierte,filtrier,filtriert,hat
armieren,armiere,armierst,armiert,armierte,armiert,armierte,armier,armiert,hat
assistieren,assistiere,assistierst,assistiert,assistierte,assistiert,assistierte,assistier,assistiert,hat
salben,salbe,salbst,salbt,salbte,gesalbt,salbte,salb,salbt,hat
sättigen,sättige,sättigst,sättigt,sättigte,gesättigt,sättigte,sättige,sättigt,hat
sabotieren,sabotiere,sabotierst,sabotiert,sabotierte,sabotiert,sabotierte,sabotier,sabotiert,hat
säkularisieren,säkularisiere,säkularisierst,säkularisiert,säkularisierte,säkularisiert,säkularisierte,säkularisier,säkularisiert,hat
sakralisieren,sakralisiere,sakralisierst,sakralisiert,sakralisierte,sakralisiert,sakralisierte,sakralisier,sakralisiert,hat
schematisieren,schematisiere,schematisierst,schematisiert,schematisierte,schematisiert,schematisierte,schematisier,schematisiert,hat
thematisieren,thematisiere,thematisierst,thematisiert,thematisierte,thematisiert,thematisierte,thematisier,thematisiert,hat
formalisieren,formalisiere,formalisierst,formalisiert,formalisierte,formalisiert,formalisierte,formalisier,formalisiert,hat
individualisieren,individualisiere,individualisierst,individualisiert,individualisierte,individualisiert,individualisierte,individualisier,individualisiert,hat
auspressen,presse aus,presst aus,presst aus,presste aus,ausgepresst,presste aus,presse aus,presst aus,hat
schablonisieren,schablonisiere,schablonisierst,schablonisiert,schablonisierte,schablonisiert,schablonisierte,schablonisier,schablonisiert,hat
tafeln,tafele,tafelst,tafelt,tafelte,getafelt,tafelte,tafle,tafelt,hat
labeln,labele,labelst,labelt,labelte,gelabelt,labelte,label,labelt,hat
etikettieren,etikettiere,etikettierst,etikettiert,etikettierte,etikettiert,etikettierte,etikettier,etikettiert,hat
normen,normen,normst,normt,normte,genormt,normte,norm,normt,hat
selektieren,selektiere,selektierst,selektiert,selektierte,selektiert,selektierte,selektier,selektiert,hat
mechanisieren,mechanisiere,mechanisierst,mechanisiert,mechanisierte,mechanisiert,mechanisierte,mechanisier,mechanisiert,hat
modernisieren,modernisiere,modernisierst,modernisiert,modernisierte,modernisiert,modernisierte,modernisier,modernisiert,hat
solidarisieren,solidarisiere,solidarisierst,solidarisiert,solidarisierte,solidarisiert,solidarisierte,solidarisier,solidarisiert,hat
computerisieren,computerisiere,computerisierst,computerisiert,computerisierte,computerisiert,computerisierte,computerisier,computerisiert,hat
schmiegen,schmiege,schmiegst,schmiegt,schmiegte,geschmiegt,schmiegte,schmieg,schmiegt,hat
säuseln,säusel,säuselst,säuselt,säuselte,gesäuselt,säuselte,säusel,säuselt,hat
rascheln,raschele,raschelst,raschelt,raschelte,geraschelt,raschelte,raschel,raschelt,hat
gluckern,gluckere,gluckerst,gluckert,gluckerte,gegluckert,gluckerte,glucker,gluckert,hat
schneidern,schneidere,schneiderst,schneidert,schneiderte,geschneidert,schneiderte,schneider,schneidert,hat
sacken,sacke,sackst,sackt,sackte,gesackt,sackte,sack,sackt,ist
schnipseln,schnipsel,schnipselst,schnipselt,schnipselte,geschnipselt,schnipselte,schnipsel,schnipselt,hat
schnibbeln,schnibbel,schnibbelst,schnibbelt,schnibbelte,geschnibbelt,schnibbelte,schnibbel,schnibbelt,hat
säbeln,säbel,säbelst,säbelt,säbelte,gesäbelt,säbelte,säbel,säbelt,hat
schnetzeln,schnetzele,schnetzelst,schnetzelt,schnetzelte,geschnetzelt,schnetzelte,schnetzel,schnetzelt,hat
metzeln,metzele,metzelst,metzelt,metzelte,gemetzelt,metzelte,metzel,metzelt,hat
schnitzeln,schnitzele,schnitzelst,schnitzelt,schnitzelte,geschnitzelt,schnitzelte,schnitzel,schnitzelt,hat
zusammenschließen,schließe zusammen,schließt zusammen,schließt zusammen,schloss  zusammen,zusammengeschlossen,schlösse zusammen,schließe zusammen,schließt zusammen,hat
schnippen,schnippe,schnippst,schnippt,schnippte,geschnippt,schnippte,schnipp,schnippt,hat
schnipsen,schnipse,schnipst,schnipst,schnipste,geschnipst,schnipste,schnips,schnipst,hat
schlemmen,schlemme,schlemmst,schlemmt,schlemmte,geschlemmt,schlemmte,schlemm,schlemmt,hat
schlämmen,schlämme,schlämmst,schlämmt,schlämmte,geschlämmt,schlämmte,schlämm,schlämmt,hat
klemmen,klemme,klemmst,klemmt,klemmte,geklemmt,klemmte,klemm,klemmt,hat
prassen,prasse,prasst,prasst,prasste,geprasst,prasste,prass,prasst,hat
schnarren,schnarre,schnarrst,schnarrt,schnarrte,geschnarrt,schnarrte,schnarr,schnarrt,hat
knarren,knarre,knarrst,knarrt,knarrte,geknarrt,knarrte,knarr,knarrt,hat
rasseln,rassele,rasselst,rasselt,rasselte,gerasselt,rasselte,rassel,rasselt,hat
surren,surre,surrst,surrt,surrte,gesurrt,surrte,surr,surrt,hat
dröhnen,dröhne,dröhnst,dröhnt,dröhnte,gedröhnt,dröhnte,dröhn,dröhnt,hat
schnauzen,schnauze,schnauzt,schnauzt,schnauzte,geschnauzt,schnauzte,schnauz,schnauzt,hat
schnallen,schnalle,schnallst,schnallt,schnallte,geschnallt,schnallte,schnall,schnallt,hat
gurten,gurte,gurtest,gurtet,gurtete,gegurtet,gurtete,gurt,gurtet,hat
scharen,schare,scharst,schart,scharte,geschart,scharte,schar,schart,hat
gesellen,geselle,gesellst,gesellt,gesellte,gesellt,gesellte,gesell,gesellt,hat
schniegeln,schniegele,schniegelst,schniegelt,schniegelte,geschniegelt,schniegelte,schniegel,schniegelt,hat
wummern,wummere,wummerst,wummert,wummerte,gewummert,wummerte,wummer,wummert,hat
präsupponieren,präsupponiere,präsupponierst,präsupponiert,präsupponierte,präsupponiert,präsupponierte,präsupponiere,präsupponiert,hat
schrammen,schramme,schrammst,schrammt,schrammte,geschrammt,schrammte,schramm,schrammt,hat
schrubben,schrubbe,schrubbst,schrubbt,schrubbte,geschrubbt,schrubbte,schrubb,schrubbt,hat
dritteln,drittele,drittelst,drittelt,drittelte,gedrittelt,drittelte,drittele,drittelt,hat
fünfteln,fünftele,fünftelst,fünftelt,fünftelte,gefünftelt,fünftelte,fünftele,fünftelt,hat
schrumpeln,schrumpele,schrumpelst,schrumpelt,schrumpelte,geschrumpelt,schrumpelte,schrumpel,schrumpelt,ist
rumpeln,rumpele,rumpelst,rumpelt,rumpelte,gerumpelt,rumpelte,rumpel,rumpelt,hat
rumsen,rumse,rumst,rumst,rumste,gerumst,rumste,rums,rumst,hat
bullern,bullere,bullerst,bullert,bullerte,gebullert,bullerte,buller,bullert,hat
schmutzen,schmutze,schmutzt,schmutzt,schmutzte,geschmutzt,schmutzte,schmutz,schmutzt,hat
schirmen,schirme,schirmst,schirmt,schirmte,geschirmt,schirmte,schirm,schirmt,hat
blocken,blocke,blockst,blockt,blockte,geblockt,blockte,block,blockt,hat
schustern,schustere,schusterst,schustert,schusterte,geschustert,schusterte,schuster,schustert,hat
schnörkeln,schnörkele,schnörkelst,schnörkelt,schnörkelte,geschnörkelt,schnörkelte,schnörkel,schnörkelt,hat
schleckern,schleckere,schleckerst,schleckert,schleckerte,geschleckert,schleckerte,schlecker,schleckert,hat
schwappen,schwappe,schwappst,schwappt,schwappte,geschwappt,schwappte,schwapp,schwappt,hat
schwabbeln,schwabbele,schwabbelst,schwabbelt,schwabbelte,geschwabbelt,schwabbelte,schwabbel,schwabbelt,hat
glibbern,glibbere,glibberst,glibbert,glibberte,geglibbert,glibberte,glibber,glibbert,ist
schwabbern,schwabbere,schwabberst,schwabbert,schwabberte,geschwabbert,schwabberte,schwabber,schwabbert,hat
wabbeln,wabbele,wabbelst,wabbelt,wabbelte,gewabbelt,wabbelte,wabbel,wabbelt,hat
schlappern,schlappere,schlapperst,schlappert,schlapperte,geschlappert,schlapperte,schlapper,schlappert,hat
labbern,labbere,labberst,labbert,labberte,gelabbert,labberte,labber,labbert,hat
schlenkern,schlenker,schlenkerst,schlenkert,schlenkerte,geschlenkert,schlenkerte,schlenker,schlenkert,hat
promenieren,promeniere,promenierst,promeniert,promenierte,promeniert,promenierte,promenier,promeniert,hat
dürsten,dürste,dürstest,dürstet,dürstete,gedürstet,dürstete,dürst,dürstet,hat
fermentieren,fermentiere,fermentierst,fermentiert,fermentierte,fermentiert,fermentierte,fermentier,fermentiert,hat
siegeln,siegele,siegelst,siegelt,siegelte,gesiegelt,siegelte,siegel,siegelt,hat
spachteln,spachtel,spachtelst,spachtelt,spachtelte,gespachtelt,spachtelte,spachtel,spachtelt,hat
speicheln,speichel,speichelst,speichelt,speichelte,gespeichelt,speichelte,speichel,speichelt,hat
trainieren,trainiere,trainierst,trainiert,trainierte,trainiert,trainierte,trainier,trainiert,hat
spulen,spule,spulst,spult,spulte,gespult,spulte,spul,spult,hat
schriftstellern,schriftstellere,schriftstellerst,schriftstellert,schriftstellerte,geschriftstellert,schriftstellerte,schriftsteller,schriftstellert,hat
spötteln,spöttele,spöttelst,spöttelt,spöttelte,gespöttelt,spöttelte,spöttel,spöttelt,hat
schachteln,schachtle,schachtelst,schachtelt,schachtelte,geschachtelt,schachtelte,schachtle,schachtelt,hat
einschachteln,schachtle ein,schachtelst ein,schachtelt ein,schachtelte ein,eingeschachtelt,schachtelte ein,schachtle ein,schachtelt ein,hat
skaten,skate,skatest,skatet,skatete,geskatet,skatete,skate,skatet,hat
ineinanderschachteln,schachtle ineinander,schachtelst ineinander,schachtelt ineinander,schachtelte ineinander,ineinandergeschachtelt,schachtelte ineinander,schachtle ineinander,schachtelt ineinander,hat
sprayen,spraye,sprayst,sprayt,sprayte,gesprayt,sprayte,spray,sprayt,hat
säuern,säuere,säuerst,säuert,säuerte,gesäuert,säuerte,säuer,säuert,hat
schnäbeln,schnäbele,schnäbelst,schnäbelt,schnäbelte,geschnäbelt,schnäbelte,schnäbel,schnäbelt,hat
schnackeln,schnackele,schnackelst,schnackelt,schnackelte,geschnackelt,schnackelte,schnackel,schnackelt,hat
schrämen,schräme,schrämst,schrämt,schrämte,geschrämt,schrämte,schräm,schrämt,hat
spornen,sporne,spornst,spornt,spornte,gespornt,spornte,sporn,spornt,hat
staksen,stakse,stakst,stakst,stakste,gestakst,stakste,staks,stakst,ist
stöpseln,stöpsele,stöpselst,stöpselt,stöpselte,gestöpselt,stöpselte,stöpsel,stöpselt,hat
ekeln,ekle,ekelst,ekelt,ekelte,geekelt,ekelte,ekle,ekelt,hat
stäuben,stäube,stäubst,stäubt,stäubte,gestäubt,stäubte,stäub,stäubt,hat
stäupen,stäupe,stäupst,stäupt,stäupte,gestäupt,stäupte,stäup,stäupt,hat
stoppeln,stoppel,stoppelst,stoppelt,stoppelte,gestoppelt,stoppelte,stoppel,stoppelt,hat
stückeln,stückele,stückelst,stückelt,stückelte,gestückelt,stückelte,stückel,stückelt,hat
portionieren,portioniere,portionierst,portioniert,portionierte,portioniert,portionierte,portionier,portioniert,hat
täfeln,täfele,täfelst,täfelt,täfelte,getäfelt,täfelte,täfel,täfelt,hat
paneelieren,paneeliere,paneelierst,paneeliert,paneelierte,paneeliert,paneelierte,paneelier,paneeliert,hat
tarieren,tariere,tarierst,tariert,tarierte,tariert,tarierte,tarier,tariert,hat
paketieren,paketiere,paketierst,paketiert,paketierte,paketiert,paketierte,paketier,paketiert,hat
taillieren,tailliere,taillierst,tailliert,taillierte,tailliert,taillierte,taillier,tailliert,hat
tournieren,tourniere,tournierst,tourniert,tournierte,tourniert,tournierte,tournier,tourniert,hat
tattern,tattere,tatterst,tattert,tatterte,getattert,tatterte,tatter,tattert,hat
tippeln,tippele,tippelst,tippelt,tippelte,getippelt,tippelte,tippel,tippelt,ist
trompeten,trompete,trompetest,trompetet,trompetete,trompetet,trompetete,trompet,trompetet,hat
ribbeln,ribbele,ribbelst,ribbelt,ribbelte,geribbelt,ribbelte,ribbel,ribbelt,hat
nibbeln,nibbele,nibbelst,nibbelt,nibbelte,genibbelt,nibbelte,nibbel,nibbelt,hat
patschen,patsche,patschst,patscht,patschte,gepatscht,patschte,patsch,patscht,hat
platschen,platsche,platschst,platscht,platschte,geplatscht,platschte,platsch,platscht,hat
übrighaben,habe übrig,hast übrig,hat übrig,hatte übrig,übriggehabt,hätte übrig,hab übrig,habt übrig,hat
knuspern,knuspere,knusperst,knuspert,knusperte,geknuspert,knusperte,knusper,knuspert,hat
tüpfeln,tüpfele,tüpfelst,tüpfelt,tüpfelte,getüpfelt,tüpfelte,tüpfel,tüpfelt,hat
rupfen,rupfe,rupfst,rupft,rupfte,gerupft,rupfte,rupf,rupft,hat
süffeln,süffle,süffelst,süffelt,süffelte,gesüffelt,süffelte,süffel,süffelt,hat
tunken,tunke,tunkst,tunkt,tunkte,getunkt,tunkte,tunk,tunkt,hat
trutzen,trutze,trutzt,trutzt,trutzte,getrutzt,trutzte,trutz,trutzt,hat
tuten,tute,tutest,tutet,tutete,getutet,tutete,tut,tutet,hat
tuschen,tusche,tuschst,tuscht,tuschte,getuscht,tuschte,tusch,tuscht,hat
vespern,vespere,vesperst,vespert,vesperte,gevespert,vesperte,vesper,vespert,hat
visieren,visiere,visierst,visiert,visierte,visiert,visierte,visier,visiert,hat
visitieren,visitiere,visitierst,visitiert,visitierte,visitiert,visitierte,visitier,visitiert,hat
wiegeln,wiegele,wiegelst,wiegelt,wiegelte,gewiegelt,wiegelte,wiegel,wiegelt,hat
winseln,winsele,winselst,winselt,winselte,gewinselt,winselte,winsel,winselt,hat
wurzeln,wurzele,wurzelst,wurzelt,wurzelte,gewurzelt,wurzelte,wurzel,wurzelt,hat
wuscheln,wuschele,wuschelst,wuschelt,wuschelte,gewuschelt,wuschelte,wuschel,wuschelt,hat
wellen,welle,wellst,wellt,wellte,gewellt,wellte,well,wellt,hat
kringeln,kringele,kringelst,kringelt,kringelte,gekringelt,kringelte,kringel,kringelt,hat
ringeln,ringele,ringelst,ringelt,ringelte,geringelt,ringelte,ringel,ringelt,hat
krausen,krause,kraust,kraust,krauste,gekraust,krauste,kraus,kraust,hat
furchen,furche,furchst,furcht,furchte,gefurcht,furchte,furch,furcht,hat
fruchten,fruchte,fruchtest,fruchtet,fruchtete,gefruchtet,fruchtete,fruchte,fruchtet,hat
winkeln,winkle,winkelst,winkelt,winkelte,gewinkelt,winkelte,winkel,winkelt,hat
zausen,zause,zaust,zaust,zauste,gezaust,zauste,zaus,zaust,hat
strubbeln,strubbele,strubbelst,strubbelt,strubbelte,gestrubbelt,strubbelte,strubbel,strubbelt,hat
zieren,ziere,zierst,ziert,zierte,geziert,zierte,zier,ziert,hat
zirkeln,zirkle,zirkelst,zirkelt,zirkelte,gezirkelt,zirkelte,zirkel,zirkelt,hat
zoomen,zoome,zoomst,zoomt,zoomte,gezoomt,zoomte,zoom,zoomt,hat
voltigieren,voltigiere,voltigierst,voltigiert,voltigierte,voltigiert,voltigierte,voltigier,voltigiert,hat
spionieren,spioniere,spionierst,spioniert,spionierte,spioniert,spionierte,spionier,spioniert,hat
rümpfen,rümpfe,rümpfst,rümpft,rümpfte,gerümpft,rümpfte,rümpf,rümpft,hat
rucken,rucke,ruckst,ruckt,ruckte,geruckt,ruckte,ruck,ruckt,hat
riegeln,riegele,riegelst,riegelt,riegelte,geriegelt,riegelte,riegel,riegelt,hat
waterboarden,waterboarde,waterboardest,waterboardet,waterboardete,gewaterboardet,waterboardete,waterboarde,waterboardet,hat
reuen,—,—,reut,reute,gereut,reute,—,—,hat
heuen,heue,heust,heut,heute,geheut,heute,heu,heut,hat
reihen,reihe,reihst,reiht,reihte,gereiht,reihte,reih,reiht,hat
räubern,räubere,räuberst,räubert,räuberte,geräubert,räuberte,räuber,räubert,hat
verschulen,verschule,verschulst,verschult,verschulte,verschult,verschulte,verschul,verschult,hat
rastern,rastere,rasterst,rastert,rasterte,gerastert,rasterte,raster,rastert,hat
einparken,parke ein,parkst ein,parkt ein,parkte ein,eingeparkt,parkte ein,park ein,parkt ein,hat
rahmen,rahme,rahmst,rahmt,rahmte,gerahmt,rahmte,rahm,rahmt,hat
rädern,rädere,räderst,rädert,räderte,gerädert,räderte,räder,rädert,hat
pulvern,pulvere,pulverst,pulvert,pulverte,gepulvert,pulverte,pulver,pulvert,hat
pulsen,pulse,pulst,pulst,pulste,gepulst,pulste,puls,pulst,hat
takten,takte,taktest,taktet,taktete,getaktet,taktete,takte,taktet,hat
prunken,prunke,prunkst,prunkt,prunkte,geprunkt,prunkte,prunk,prunkt,hat
prosten,proste,prostest,prostet,prostete,geprostet,prostete,prost,prostet,hat
posen,pose,post,post,poste,gepost,poste,pose,post,hat
polstern,polstere,polsterst,polstert,polsterte,gepolstert,polsterte,polster,polstert,hat
pirschen,pirsche,pirschst,pirscht,pirschte,gepirscht,pirschte,pirsch,pirscht,hat
pieschern,piescher,piescherst,pieschert,piescherte,gepieschert,piescherte,piescher,pieschert,hat
segelfliegen,—,—,—,—,segelgeflogen,—,—,—,ist
neppen,neppe,neppst,neppt,neppte,geneppt,neppte,nepp,neppt,hat
narren,narre,narrst,narrt,narrte,genarrt,narrte,narr,narrt,hat
nähren,nähre,nährst,nährt,nährte,genährt,nährte,nähr,nährt,hat
münzen,münze,münzt,münzt,münzte,gemünzt,münzte,münz,münzt,hat
munden,—,—,mundet,mundete,gemundet,mundete,—,—,hat
mummeln,mummel,mummelst,mummelt,mummelte,gemummelt,mummelte,mummel,mummelt,hat
mühen,mühe,mühst,müht,mühte,gemüht,mühte,müh,müht,hat
mucksen,muckse,muckst,muckst,muckste,gemuckst,muckste,mucks,muckst,hat
drucksen,druckse,druckst,druckst,druckste,gedruckst,druckste,drucks,druckst,hat
moppen,moppe,moppst,moppt,moppte,gemoppt,moppte,mopp,moppt,hat
feudeln,feudele,feudelst,feudelt,feudelte,gefeudelt,feudelte,feudel,feudelt,hat
makeln,makele,makelst,makelt,makelte,gemakelt,makelte,makel,makelt,hat
hakeln,hakle,hakelst,hakelt,hakelte,gehakelt,hakelte,hakel,hakelt,hat
modeln,modele,modelst,modelt,modelte,gemodelt,modelte,model,modelt,hat
lüpfen,lüpfe,lüpfst,lüpft,lüpfte,gelüpft,lüpfte,lüpf,lüpft,hat
lotsen,lotse,lotst,lotst,lotste,gelotst,lotste,lots,lotst,hat
loten,lote,lotest,lotet,lotete,gelotet,lotete,lot,lotet,hat
lindern,lindere,linderst,lindert,linderte,gelindert,linderte,linder,lindert,hat
leiern,leiere,leierst,leiert,leierte,geleiert,leierte,leier,leiert,hat
laugen,lauge,laugst,laugt,laugte,gelaugt,laugte,laug,laugt,hat
kurven,kurve,kurvst,kurvt,kurvte,gekurvt,kurvte,kurv,kurvt,ist
künden,künde,kündest,kündet,kündete,gekündet,kündete,künde,kündet,hat
kümmeln,kümmele,kümmelst,kümmelt,kümmelte,gekümmelt,kümmelte,kümmel,kümmelt,hat
krümeln,krümele,krümelst,krümelt,krümelte,gekrümelt,krümelte,krümel,krümelt,hat
kugeln,kugele,kugelst,kugelt,kugelte,gekugelt,kugelte,kugel,kugelt,hat
kraulen,kraule,kraulst,krault,kraulte,gekrault,kraulte,kraul,krault,hat
kränzen,kränze,kränzt,kränzt,kränzte,gekränzt,kränzte,kränz,kränzt,hat
krampfen,krampfe,krampfst,krampft,krampfte,gekrampft,krampfte,krampf,krampft,hat
kontakten,kontakte,kontaktest,kontaktet,kontaktete,kontaktet,kontaktete,kontakte,kontaktet,hat
kohlen,kohle,kohlst,kohlt,kohlte,gekohlt,kohlte,kohl,kohlt,hat
überflügeln,überflügele,überflügelst,überflügelt,überflügelte,überflügelt,überflügelte,überflügel,überflügelt,hat
knicksen,knickse,knickst,knickst,knickste,geknickst,knickste,knicks,knickst,hat
knickern,knickere,knickerst,knickert,knickerte,geknickert,knickerte,knicker,knickert,hat
knäueln,knäuele,knäuelst,knäuelt,knäuelte,geknäuelt,knäuelte,knäuel,knäuelt,hat
klöppeln,klöppele,klöppelst,klöppelt,klöppelte,geklöppelt,klöppelte,klöppel,klöppelt,hat
kloppen,kloppe,kloppst,kloppt,kloppte,gekloppt,kloppte,klopp,kloppt,hat
knäulen,knäule,knäulst,knäult,knäulte,geknäult,knäulte,knäul,knäult,hat
klimmen,klimme,klimmst,klimmt,klomm,geklommen,klömme,klimm,klimmt,ist
kleistern,kleistere,kleisterst,kleistert,kleisterte,gekleistert,kleisterte,kleister,kleistert,hat
kippeln,kippel,kippelst,kippelt,kippelte,gekippelt,kippelte,kippel,kippelt,hat
keilen,keile,keilst,keilt,keilte,gekeilt,keilte,keil,keilt,hat
ketzern,ketzere,ketzerst,ketzert,ketzerte,geketzert,ketzerte,ketzer,ketzert,hat
kalken,kalke,kalkst,kalkt,kalkte,gekalkt,kalkte,kalk,kalkt,hat
kälken,kälke,kälkst,kälkt,kälkte,gekälkt,kälkte,kälk,kälkt,hat
saven,save,savst,savt,savte,gesavt,savte,save,savt,hat
kübeln,kübele,kübelst,kübelt,kübelte,gekübelt,kübelte,kübel,kübelt,hat
korken,korke,korkst,korkt,korkte,gekorkt,korkte,kork,korkt,hat
knorren,knorre,knorrst,knorrt,knorrte,geknorrt,knorrte,knorr,knorrt,hat
jetten,jette,jettest,jettet,jettete,gejettet,jettete,jett,jettet,ist
ketten,kette,kettest,kettet,kettete,gekettet,kettete,kett,kettet,hat
innovieren,innoviere,innovierst,innoviert,innovierte,innoviert,innovierte,innovier,innoviert,hat
forwarden,forwarde,forwardest,forwardet,forwardete,geforwardet,forwardete,forwarde,forwardet,hat
talken,talke,talkst,talkt,talkte,getalkt,talkte,talk,talkt,hat
jumpen,jumpe,jumpst,jumpt,jumpte,gejumpt,jumpte,jump,jumpt,ist
hopsen,hopse,hopst,hopst,hopste,gehopst,hopste,hops,hopst,ist
flottkommen,komme flott,kommst flott,kommt flott,kam flott,flottgekommen,käme flott,komm flott,kommt flott,ist
recykeln,recykele,recykelst,recykelt,recykelte,recykelt,recykelte,recykele,recykelt,hat
recyclieren,recycliere,recyclierst,recycliert,recyclierte,recycliert,recyclierte,recycliere,recycliert,hat
recyklieren,recykliere,recyklierst,recykliert,recyklierte,recykliert,recyklierte,recyklier,recykliert,hat
jammen,jamme,jammst,jammt,jammte,gejammt,jammte,jamm,jammt,hat
daten,date,datest,datet,datete,gedatet,datete,date,datet,hat
transplantieren,transplantiere,transplantierst,transplantiert,transplantierte,transplantiert,transplantierte,transplantier,transplantiert,hat
entledigen,entledige,entledigst,entledigt,entledigte,entledigt,entledigte,entledig,entledigt,hat
promoten,promote,promotest,promotet,promotete,promotet,promotete,promot,promotet,hat
reviewen,reviewe,reviewst,reviewt,reviewte,gereviewt,reviewte,review,reviewt,hat
layouten,layoute,layoutest,layoutet,layoutete,gelayoutet,layoutete,layoute,layoutet,hat
tunen,tune,tunst,tunt,tunte,getunt,tunte,tun,tunt,hat
brainstormen,brainstorme,brainstormst,brainstormt,brainstormte,gebrainstormt,brainstormte,brainstorm,brainstormt,hat
matchen,matche,matchst,matcht,matchte,gematcht,matchte,matche,matcht,hat
sampeln,sampele,sampelst,sampelt,sampelte,gesampelt,sampelte,sampel,sampelt,hat
samplen,sample,samplst,samplt,samplte,gesamplet,samplte,sample,samplt,hat
clicken,clicke,clickst,clickt,clickte,geclickt,clickte,click,clickt,hat
fighten,fighte,fightest,fightet,fightete,gefightet,fightete,fighte,fightet,hat
raffinieren,raffiniere,raffinierst,raffiniert,raffinierte,raffiniert,raffinierte,raffinier,raffiniert,hat
erliegen,erliege,erliegst,erliegt,erlag,erlegen,erläge,erlieg,erliegt,ist
hutzeln,hutzele,hutzelst,hutzelt,hutzelte,gehutzelt,hutzelte,hutzel,hutzelt,ist
hüsteln,hüstele,hüstelst,hüstelt,hüstelte,gehüstelt,hüstelte,hüstel,hüstelt,hat
künsteln,künstele,künstelst,künstelt,künstelte,gekünstelt,künstelte,künstel,künstelt,hat
hökern,hökere,hökerst,hökert,hökerte,gehökert,hökerte,höker,hökert,hat
höken,höke,hökst,hökt,hökte,gehökt,hökte,hök,hökt,hat
hexen,hexe,hext,hext,hexte,gehext,hexte,hex,hext,hat
heuern,heuere,heuerst,heuert,heuerte,geheuert,heuerte,heuer,heuert,hat
klumpen,—,—,klumpt,klumpte,geklumpt,klumpte,—,—,hat
härmen,härme,härmst,härmt,härmte,gehärmt,härmte,härm,härmt,hat
hangeln,hangele,hangelst,hangelt,hangelte,gehangelt,hangelte,hangel,hangelt,hat
gründeln,gründele,gründelst,gründelt,gründelte,gegründelt,gründelte,gründel,gründelt,hat
grasen,grase,grast,grast,graste,gegrast,graste,gras,grast,hat
gewichten,gewichte,gewichtest,gewichtet,gewichtete,gewichtet,gewichtete,gewicht,gewichtet,hat
wichten,wichte,wichtest,wichtet,wichtete,gewichtet,wichtete,wicht,wichtet,hat
gelieren,geliere,gelierst,geliert,gelierte,geliert,gelierte,gelier,geliert,hat
geistern,geistere,geisterst,geistert,geisterte,gegeistert,geisterte,geister,geistert,hat
frömmeln,frömmele,frömmelst,frömmelt,frömmelte,gefrömmelt,frömmelte,frömmel,frömmelt,hat
flaggen,flagge,flaggst,flaggt,flaggte,geflaggt,flaggte,flagg,flaggt,hat
flippern,flippere,flipperst,flippert,flipperte,geflippert,flipperte,flippere,flippert,hat
